                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90283,                0.62083,                 1.0815,                0.92703,                0.90216,                0.95832,                0.75051,                0.83031,                0.48149,                 1.0179,               0.006535,               0.006535,               0.006535
                     37,                0.89918,                0.61575,                 1.0761,                0.92184,                0.90469,                0.95882,                0.75197,                0.83927,                0.48436,                 1.0187,               0.006436,               0.006436,               0.006436
                     38,                0.89847,                0.60998,                 1.0716,                 0.9217,                0.90701,                0.95938,                0.75953,                0.81583,                0.48361,                 1.0079,               0.006337,               0.006337,               0.006337
                     39,                0.88917,                 0.6088,                 1.0698,                0.92169,                0.90381,                0.95838,                0.75814,                0.81343,                0.48031,                 1.0024,               0.006238,               0.006238,               0.006238
                     40,                0.89127,                0.60651,                 1.0683,                0.92516,                0.90338,                0.96061,                0.75992,                0.81359,                0.47441,                 1.0037,               0.006139,               0.006139,               0.006139
                     41,                0.88781,                0.60157,                 1.0697,                0.92321,                0.90723,                0.96183,                0.76443,                0.80402,                0.46934,                 1.0104,                0.00604,                0.00604,                0.00604
                     42,                0.88896,                0.60179,                 1.0712,                0.91968,                0.90937,                0.95987,                0.75971,                0.81383,                0.47262,                 1.0062,               0.005941,               0.005941,               0.005941
                     43,                0.88262,                0.59419,                 1.0683,                0.92328,                0.91033,                0.96227,                 0.7661,                0.80088,                0.46581,                 1.0044,               0.005842,               0.005842,               0.005842
                     44,                 0.8816,                0.59509,                 1.0669,                0.92921,                0.90481,                0.95999,                0.76551,                0.79661,                0.46951,                 1.0054,               0.005743,               0.005743,               0.005743
                     45,                0.87098,                0.58774,                 1.0644,                0.92156,                0.91722,                0.96161,                0.76854,                0.79695,                0.46049,                 0.9981,               0.005644,               0.005644,               0.005644
                     46,                0.86879,                0.58603,                 1.0638,                0.92562,                  0.908,                0.96138,                0.76617,                0.80073,                0.46305,                 1.0028,               0.005545,               0.005545,               0.005545
                     47,                0.86585,                0.58055,                 1.0605,                0.93159,                0.90846,                0.96363,                0.77127,                0.78629,                0.45364,                 0.9931,               0.005446,               0.005446,               0.005446
                     48,                0.86837,                0.58261,                  1.057,                0.91951,                0.91474,                0.96352,                0.76996,                0.79121,                0.45609,                0.99447,               0.005347,               0.005347,               0.005347
                     49,                0.85953,                0.57207,                 1.0556,                0.91594,                0.92016,                0.96283,                0.77107,                 0.7929,                0.45178,                0.99889,               0.005248,               0.005248,               0.005248
                     50,                 0.8597,                 0.5743,                 1.0583,                0.92488,                0.91168,                 0.9635,                0.77154,                0.78572,                0.45082,                0.99186,               0.005149,               0.005149,               0.005149
                     51,                0.85096,                0.56624,                 1.0556,                0.92974,                0.91364,                0.96428,                0.77318,                0.78774,                0.44828,                0.99239,                0.00505,                0.00505,                0.00505
                     52,                0.84795,                0.56583,                 1.0498,                0.92956,                0.91263,                  0.964,                0.77531,                0.78327,                0.44179,                0.99279,               0.004951,               0.004951,               0.004951
                     53,                0.85112,                0.55803,                 1.0501,                0.92277,                0.91448,                0.96312,                0.77469,                0.78458,                0.44156,                0.98837,               0.004852,               0.004852,               0.004852
                     54,                0.84125,                 0.5611,                 1.0451,                0.92639,                0.91637,                0.96359,                0.77552,                0.78303,                0.44049,                0.99043,               0.004753,               0.004753,               0.004753
                     55,                0.84173,                0.55681,                 1.0476,                0.93577,                0.91437,                0.96587,                0.77711,                0.77817,                0.43588,                0.98879,               0.004654,               0.004654,               0.004654
                     56,                 0.8355,                0.54879,                 1.0439,                0.93069,                0.91746,                0.96602,                0.77674,                0.78743,                0.43472,                0.99444,               0.004555,               0.004555,               0.004555
                     57,                0.83544,                0.55179,                 1.0439,                0.93809,                0.90762,                0.96558,                0.77701,                0.77585,                0.43423,                0.98685,               0.004456,               0.004456,               0.004456
                     58,                0.83117,                0.54826,                 1.0406,                0.93079,                0.92184,                  0.966,                0.78009,                0.77103,                0.42866,                0.98317,               0.004357,               0.004357,               0.004357
                     59,                0.82495,                 0.5427,                 1.0361,                0.92772,                0.91869,                0.96603,                0.78218,                0.76974,                 0.4303,                0.98047,               0.004258,               0.004258,               0.004258
                     60,                0.83049,                0.54066,                 1.0407,                0.92962,                0.91891,                0.96519,                 0.7813,                0.76835,                0.43067,                0.97952,               0.004159,               0.004159,               0.004159
                     61,                 0.8236,                0.54048,                 1.0344,                0.91968,                0.92728,                0.96535,                 0.7803,                0.76582,                0.43074,                0.97922,                0.00406,                0.00406,                0.00406
                     62,                0.82392,                0.54211,                 1.0385,                0.93066,                0.91848,                0.96627,                0.78352,                0.76505,                0.42703,                0.97956,               0.003961,               0.003961,               0.003961
                     63,                0.82016,                0.53569,                 1.0376,                0.93189,                0.91875,                0.96623,                 0.7827,                0.76415,                0.43024,                0.98232,               0.003862,               0.003862,               0.003862
                     64,                0.81841,                0.53092,                  1.038,                0.93185,                0.91728,                0.96522,                0.78223,                0.76377,                0.42617,                 0.9794,               0.003763,               0.003763,               0.003763
                     65,                0.81909,                0.53538,                 1.0334,                0.93345,                0.91029,                0.96444,                0.78222,                0.76414,                0.43105,                0.98349,               0.003664,               0.003664,               0.003664
                     66,                0.81068,                0.52402,                 1.0301,                0.92802,                0.92272,                0.96605,                0.78371,                  0.766,                0.42546,                0.98245,               0.003565,               0.003565,               0.003565
                     67,                0.80664,                0.52694,                 1.0299,                0.92555,                0.92189,                 0.9666,                0.78357,                0.76206,                0.42479,                0.98027,               0.003466,               0.003466,               0.003466
                     68,                0.79927,                0.51426,                 1.0258,                0.92993,                0.92074,                0.96719,                0.78466,                0.76128,                0.42222,                0.97832,               0.003367,               0.003367,               0.003367
                     69,                0.79823,                 0.5156,                 1.0263,                0.93327,                0.91556,                0.96689,                0.78518,                0.76001,                0.42281,                 0.9782,               0.003268,               0.003268,               0.003268
                     70,                0.80438,                0.51662,                 1.0264,                0.92822,                0.91852,                0.96626,                0.78511,                0.75998,                0.42223,                0.97889,               0.003169,               0.003169,               0.003169
                     71,                0.80002,                0.51624,                  1.023,                 0.9302,                0.91479,                0.96687,                0.78584,                0.75615,                0.42088,                0.97775,                0.00307,                0.00307,                0.00307
                     72,                0.79788,                0.51871,                 1.0278,                0.92279,                 0.9194,                0.96587,                0.78702,                0.75242,                0.42385,                0.97516,               0.002971,               0.002971,               0.002971
                     73,                0.78724,                0.51006,                 1.0202,                0.93222,                 0.9152,                0.96493,                0.78702,                0.75169,                0.42221,                0.97307,               0.002872,               0.002872,               0.002872
                     74,                0.78781,                0.50772,                 1.0231,                0.92741,                0.92161,                0.96646,                0.78854,                0.75255,                0.42161,                0.97463,               0.002773,               0.002773,               0.002773
                     75,                0.77851,                0.49896,                 1.0132,                0.93143,                0.91816,                0.96671,                0.78688,                0.75306,                 0.4197,                0.97323,               0.002674,               0.002674,               0.002674
                     76,                 0.7841,                0.50281,                 1.0149,                0.93191,                0.91544,                0.96465,                0.78808,                 0.7512,                0.41915,                0.97203,               0.002575,               0.002575,               0.002575
                     77,                0.77978,                0.50073,                 1.0153,                0.93249,                0.91674,                0.96542,                0.78845,                0.75054,                0.41794,                0.97427,               0.002476,               0.002476,               0.002476
